ts,record_id,user_authority,user,direction,base_asset_amount,quote_asset_amount,mark_price_before,mark_price_after,fee,referrer_reward,referee_discount,token_discount,liquidation,market_index,oracle_price
2022-03-10 09:55:34-05:00,5351334,AnsdDByYT8ZF1gUtB9wbdDM9aPb4pbe5msnhJSMcyyPP,268YXLhoGGQfZcEqcM3bCQCf31vopnt2JybPxa36aMNP,PositionDirection.Long(),4298997479431741,316752628,7367738076,7368377951,316752,0,0,0,False,10,7352529800
2022-03-10 09:55:34-05:00,5351335,bhip1a2qNErbUg5CSXgXu1GKbSYG1Xx4UyLYT9JrHKf,Heax813ASeLfPqkyJ28M4A1SiAUgRNDnAHRCfdvyVjLq,PositionDirection.Long(),201537682331201,567416800,281530592304,281556959421,567416,0,0,0,False,7,281499570000
2022-03-10 09:55:34-05:00,5351336,D5RCk5NfTVHEqgrrhNXgLrXQDzdnUmPiGXuLccaECLvp,AA6gh2EZyDTAxUnv1B6ZFynH6t5C2TMZptc9Vkrvx47u,PositionDirection.Long(),87882970177248,855280637,973175796383,973232331689,855280,0,0,0,False,3,976791220000
2022-03-10 09:55:34-05:00,5351337,F5BMRPmj54MmKRvmmhYETmfyhBYjiJo3qzM5YZpQnCup,7gWxZS93DXQCTxwvynyyArkSzGdcDyHZXNDyLmXN4JaH,PositionDirection.Long(),9556433600767905,704222123,7368377951,7369800656,704222,0,0,0,False,10,7349783100
2022-03-10 09:55:35-05:00,5351338,AcrAf5aJmJBxsSYGywSucEXU5Lw7xz1bxqHG2RiBNuqX,8bNgszva9WwD8JzcFezPj2hWvHNNAfdNoncAuEsgvSXT,PositionDirection.Long(),113904738770033,829707975,728390682360,728454721546,829707,0,0,0,False,4,727992590000
2022-03-10 09:55:36-05:00,5351339,F1qShBstNvSQuLxWgYm5nStrCxGerv9oTdhVh6vx2gFm,8kzHn2hj5j8sa9y99hGJwt2aWyv28ZNTs9RZWX4MnPt3,PositionDirection.Long(),27315619941025365,2013662378,7369800656,7373869515,2013662,0,0,0,False,10,7349044500
2022-03-10 09:55:36-05:00,5351340,7ZVPidz43dLjX2GZp3Yqu1jbmDqA5qtSiWkY8f6VXfLP,8aWL3kVkJNcKuE9gkcrGf8Ewr7gv9ZKJdueBBjvfWkKH,PositionDirection.Long(),105923165852107,1030914588,973232331689,973300478840,1030914,0,0,0,False,3,976339360000
2022-03-10 09:55:37-05:00,5351341,D5RCk5NfTVHEqgrrhNXgLrXQDzdnUmPiGXuLccaECLvp,AA6gh2EZyDTAxUnv1B6ZFynH6t5C2TMZptc9Vkrvx47u,PositionDirection.Long(),174800732471663,1701434668,973300478840,973412954991,1701434,0,0,0,False,3,976339360000
2022-03-10 09:55:38-05:00,5351342,D5RCk5NfTVHEqgrrhNXgLrXQDzdnUmPiGXuLccaECLvp,AA6gh2EZyDTAxUnv1B6ZFynH6t5C2TMZptc9Vkrvx47u,PositionDirection.Long(),480502654895134,4678018086,973412954991,973722236606,4678018,0,0,0,False,3,976537700000
2022-03-10 09:55:38-05:00,5351343,AcrAf5aJmJBxsSYGywSucEXU5Lw7xz1bxqHG2RiBNuqX,8bNgszva9WwD8JzcFezPj2hWvHNNAfdNoncAuEsgvSXT,PositionDirection.Long(),175833267629593,1280952663,728454721546,728553594590,1280952,0,0,0,False,4,727863770000
2022-03-10 09:55:38-05:00,5351344,HpjmrE69DTK9F4KK3Ph5QrJbnZF8n3hmuJt6c5KVZDYZ,DnbDD6deFUkm1qeEfZT3M9GVNtzu8e2GpdXzNKBfTT11,PositionDirection.Long(),1809545324446,468851600,25907657137370,25912166930173,468851,0,0,0,False,2,25909547200000
2022-03-10 09:55:38-05:00,5351345,DXgo3PMFzUTdvW8xrj7w8Ks7L9XGK7VRVbM748pisja3,5MXwPXQC9jbFQf51EDa9sbtiuQhGWESmrLNhud4P7hBB,PositionDirection.Long(),309902776197,1215155116,392077997247426,392138997890975,1215155,0,0,0,False,1,391982410000000
2022-03-10 09:55:38-05:00,5351346,39aCtgqAVeg2GKp85ZNdL3iJB3H9uNak4PdTTHDz23zk,GvLrBW8wwKJZ6CZnyjvmtPMnfjWj9bdAjxJZ7iVQJbwo,PositionDirection.Long(),500000000000000,4115074283,822862858857,823166882068,4115074,0,0,0,False,0,822046580000
2022-03-10 09:55:38-05:00,5351347,CmK69Pq5GuvfTstgb3DMo91aakRcWitxdLr4TUMj89Vq,5MZF9spfQyBngafe6bJAZ68dSaJDmVeFW3anmVimssyk,PositionDirection.Long(),14974008267436,145805970,973722236606,973731877184,145805,0,0,0,False,3,976655140000
