ts,record_id,user_authority,user,market_index,funding_payment,base_asset_amount,user_last_cumulative_funding,user_last_funding_rate_ts,amm_cumulative_funding_long,amm_cumulative_funding_short
2022-03-13 20:06:38-04:00,318516,EixYycpq2qVBMY4zNAj8bWU5KFvH9mCN4ETnEd7PgqmR,9SLJ4kHG7oGfxGG929V57TXSKbQGtkqBJHh3Qag9asay,9,1279381469312,-25019454262918011,1742106055298,1647212409,1747219601964,1747219601964
2022-03-13 20:06:38-04:00,318517,EixYycpq2qVBMY4zNAj8bWU5KFvH9mCN4ETnEd7PgqmR,9SLJ4kHG7oGfxGG929V57TXSKbQGtkqBJHh3Qag9asay,7,6203865318,-3625258037089,262512548642314,1647212401,265133822137622,262683677573147
2022-03-13 20:06:38-04:00,318518,EixYycpq2qVBMY4zNAj8bWU5KFvH9mCN4ETnEd7PgqmR,9SLJ4kHG7oGfxGG929V57TXSKbQGtkqBJHh3Qag9asay,8,211890,-324222646,94092985868354,1647212402,174605454771449,94158339170854
2022-03-13 20:06:38-04:00,318519,EixYycpq2qVBMY4zNAj8bWU5KFvH9mCN4ETnEd7PgqmR,9SLJ4kHG7oGfxGG929V57TXSKbQGtkqBJHh3Qag9asay,10,179317088,-3914270556624,2410380829048,1647212400,2414961940298,2414961940298
2022-03-13 20:06:50-04:00,318520,CnCR7sCivYqgRiT2j2mjETnCRHg9KCqFyoVFLd9C1mQY,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,8,523919179175,-801672079503363,94092985868354,1647212402,174605454771449,94158339170854
2022-03-13 20:06:50-04:00,318521,CnCR7sCivYqgRiT2j2mjETnCRHg9KCqFyoVFLd9C1mQY,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,10,43012060615241,-938900154743930853,2410380829048,1647212400,2414961940298,2414961940298
2022-03-13 20:06:50-04:00,318522,CnCR7sCivYqgRiT2j2mjETnCRHg9KCqFyoVFLd9C1mQY,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,6,3638919011851,-31640077731216828,11556821615764,1647212401,13783528840526,11568322595764
2022-03-13 20:06:50-04:00,318523,CnCR7sCivYqgRiT2j2mjETnCRHg9KCqFyoVFLd9C1mQY,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,9,1252290967763,-24489675162064271,1742106055298,1647212409,1747219601964,1747219601964
2022-03-13 20:06:50-04:00,318524,CnCR7sCivYqgRiT2j2mjETnCRHg9KCqFyoVFLd9C1mQY,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,12,1321471392117,-240845607663965,96490233671367,1647212401,111427332961218,97038913551783
2022-03-13 20:06:56-04:00,318525,CSm671LEjgj1CKryMgcLRBQpQY7WStFxv6VWQJZVYWxo,7hfMbAXTA8UnESNMsRwsA22JWCCcbyGD1GNFo4sZ9sTa,0,12403130841564,-6001157164847068,496088184883294,1647212412,1567724573766603,496294863870377
2022-03-13 20:07:05-04:00,318526,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD,J4kGq2xVmSku73SfzjExKgpdJgjfZ6HBFvgKBsxsmPvr,3,340316164583,50000000000000,-250584306439553,1647208823,-251264938768719,-310262157560297
2022-03-13 20:07:05-04:00,318527,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD,J4kGq2xVmSku73SfzjExKgpdJgjfZ6HBFvgKBsxsmPvr,12,7066768763233,-657906427974352,95964783787617,1647208837,111427332961218,97038913551783
2022-03-13 20:07:05-04:00,318528,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD,J4kGq2xVmSku73SfzjExKgpdJgjfZ6HBFvgKBsxsmPvr,4,-2097482810970,318099343697434,266537619039076,1647208802,267196998837409,100589568175652
2022-03-13 20:07:08-04:00,318529,B8cdnwpy5FdDRNX2Wp5Zeux95e53A9cUfdHd5MEdPdTz,H7UUFDuCw2SKvR7q1wojqRLJ1gRCgxQcFhpqsbNtEveT,10,24775018218208,-540808045607017995,2410380829048,1647212400,2414961940298,2414961940298
2022-03-13 20:07:08-04:00,318530,B8cdnwpy5FdDRNX2Wp5Zeux95e53A9cUfdHd5MEdPdTz,H7UUFDuCw2SKvR7q1wojqRLJ1gRCgxQcFhpqsbNtEveT,11,24085499915530,-4264851008150240,113850590002818,1647212445,114415334231151,114415334231151
2022-03-13 20:07:08-04:00,318531,B8cdnwpy5FdDRNX2Wp5Zeux95e53A9cUfdHd5MEdPdTz,H7UUFDuCw2SKvR7q1wojqRLJ1gRCgxQcFhpqsbNtEveT,9,4115277963975,-80477958504567713,1742106055298,1647212409,1747219601964,1747219601964
2022-03-13 20:07:08-04:00,318532,B8cdnwpy5FdDRNX2Wp5Zeux95e53A9cUfdHd5MEdPdTz,H7UUFDuCw2SKvR7q1wojqRLJ1gRCgxQcFhpqsbNtEveT,12,2203370670756,-401576720671152,96490233671367,1647212401,111427332961218,97038913551783
2022-03-13 20:07:08-04:00,318533,B8cdnwpy5FdDRNX2Wp5Zeux95e53A9cUfdHd5MEdPdTz,H7UUFDuCw2SKvR7q1wojqRLJ1gRCgxQcFhpqsbNtEveT,0,464551421621,-224769546328019,496088184883294,1647212412,1567724573766603,496294863870377
