,user_position_pubkey,user_authority,position_index,market_index,quote_asset_amount,base_asset_amount,last_cumulative_funding_rate,entry_price
47,Bz66oTrg9dKFXQDXVvnALsMrTnvjH49Pf9TXoM1ChAo1,8xdqCcawfKsHbVVAEkXEkwzxTWwbnCmCCqBuEG6cuNEx,,,,,,
48,8DgAH2dgCZGjV2gm2MzqvkgLwDhSLnq98Nwm5B5JRYJ2,4iPTUqUGM6D2smveHEgEbJF6SSsaUyFtvzv7MarNhTGV,,,,,,
49,DDhW2kr2BZ7ghJCvMqAewD4CU96n6faHvaaxXNBnLrC,CBs6cycA1E8AkpJxDASigF72KhXprgTjNfGMWP7kD1vy,,,,,,
50,DBT1ekgAh7zpbURHCTDLTpT3czvLBt2bw4B9cCUf4HLE,3vdvm5gGkYEkwPHjtyNySWK3WRCiS2wv6cmm6sQ5bapP,,,,,,
51,29oDU8LjBfnM3Xd68VeDbmJWAPW9LAZJok6dT2oMPyjy,AwohRPFUexoCVn9uwgfER5B9SYTLKwf9bbZxvspeVo2S,0.0,0.0,25632.06,284.491050089851,15.69106604848675,90.0979485713333
52,9xBDrqNefNRGx4oxmsqu7xngt7RDqWpWihJ7yaXVvJ2U,5jdnNir8fdbQPjFvUxNJsXEKL25Z5FnzGv3aWGDVSwZr,0.0,0.0,0.05,0.0002480561175,14.0847609636424,201.5672925300865
53,9xBDrqNefNRGx4oxmsqu7xngt7RDqWpWihJ7yaXVvJ2U,5jdnNir8fdbQPjFvUxNJsXEKL25Z5FnzGv3aWGDVSwZr,1.0,2.0,0.02,4.3771804e-06,417.75383918091654,4569.151410803173
54,9xBDrqNefNRGx4oxmsqu7xngt7RDqWpWihJ7yaXVvJ2U,5jdnNir8fdbQPjFvUxNJsXEKL25Z5FnzGv3aWGDVSwZr,2.0,3.0,0.05,0.0004869136106,-0.17953586189236,102.68762037353491
55,9xBDrqNefNRGx4oxmsqu7xngt7RDqWpWihJ7yaXVvJ2U,5jdnNir8fdbQPjFvUxNJsXEKL25Z5FnzGv3aWGDVSwZr,3.0,4.0,0.07,-0.0005965040466,0.14124389364066,117.35041932907485
56,9xBDrqNefNRGx4oxmsqu7xngt7RDqWpWihJ7yaXVvJ2U,5jdnNir8fdbQPjFvUxNJsXEKL25Z5FnzGv3aWGDVSwZr,4.0,5.0,0.0,-8.9367156e-06,8.62450502243575,0.0
57,BLqct3VD3UUez5ckXRAm1RnRfA9morCQpNSdWYA7C7gR,G9p9aALecyXbBZ4y9mbKf56v33BpRjqNCjr8tUEq3yUT,,,,,,
58,AKvuQWg4cz5z9VVyaPJXLRG985Js79KgTgmqr9jwqggM,F3RBMobmdiwK28QN3dveM1pWTWHNPWqDqQHZvgkEANii,,,,,,
59,6qzLKaoXQZK3kqczVNFSXrjkLjxSji7U6Wd6mXFCkPNH,GNoVYCgkaiKzcajSpP6KDWQUoTMxjQo8GereKWez26oD,,,,,,
60,9QjscmQN1LBbTMTQhzEeUjM2Z3h6AxdC4Zyw4zCmgR9o,8Vh8wfv9xrxsFRcpm3n8GRKfZFnjrMxpYEjT23JJPH9F,,,,,,
61,85u3GFwALoZCfGG7x1JMJhfMNiNGWfgw28K87WXvMYxk,BCtUxbsfaDN8XKMXQQch1PfhtKLmczLEJoXJzohgCtVX,0.0,1.0,106.0,0.002693636918,10241.816097910872,39352.00000106325
62,4QW7ouFcK96cJ7eArWtFdC3fnMnNz3hYcWJn4mVdrrpY,DaXhbqXnU6RRqoGhZvBUhLLpSva14iWFaAiny5XcRUaX,,,,,,
63,CabLJuwuxz3vyYsbHemqkQTjmtPPbZXrxqpeTYhEPsnF,Fq3JxCEQEVY52Mefj9yPHsBhqx7pStdwPtdpVihXuPxb,,,,,,
64,9kmckJcm7ZHcTrCwF4umwc6zgxGZQgHBRukygAwLgpxq,ADUb8hyP2ZEQLZMamF4xBSecUfsqSmi4N4PG6QmmggdS,,,,,,
