,Address,collateral,cumulative_deposits,total_fee_paid,realized_pnl,~roi
10107,2dsEkAXA6M1MTCGyrFVrZdVkE8ooX5NXhFXeAk3C3gHt,98185.075,103507.0,2350.918,-5321.925,-0.051
13398,3UunurRNn4m3nmqvaPAXAX5cT9ZcghSVQi4NSgz9u22d,1295.694,-2106.917,2307.462,3402.611,inf
1405,G3LQFkbGK8etLrtHJRSZ8fUYWrtB31SQxpaJWAhuuKWM,40998.304,40154.0,2253.043,844.304,0.021
2740,F2AU2PjaSmHxWWhkz8XxMggkCMWbMVgawt89tSnYS6RL,30.864,1074.0,2240.565,-1043.136,-0.971
9966,EV1jndTEhcxMZwNNVmCWAr7yxC7zACM4GiCAsHKesy8z,0.007,1351.92,2223.465,-1351.913,-1.0
13747,31tyt6M4RuSjM1pZ9tXbPSdVDNr7q4CU66tHD5soPHkT,136.996,668.57,2194.706,-531.574,-0.795
1944,Ca5Y8qCUvYfcayjUqJhTocNsfW2SiMEBy6oH5CWKt9Sr,193.439,-390.53,2169.49,583.969,inf
13604,GHEUXeGuGYwqM1e4Gq8FvKi8ZVCJ8vZSBQXZr1dsVz9L,6838.811,4632.1,2142.207,2206.711,0.476
2863,FU7X4DWnGTbxwXULBq3v9SACzYhQyFGqsXjUDzyFqiem,7882.513,1435.95,2111.973,6446.563,4.489
1928,2PSy8GuWYnWc8QzgPEbcAZN63nckUrw8i2B85zoFYbDK,1353.205,-1702.092,2077.911,3055.297,inf
8296,3A5AuwDWP4fT7RUqNBj51AxdS4uYkjEZmFYrykBJPp1X,0.014,-18453.72,2074.191,18453.734,inf
9163,51sWUoJVikAwJQW1aR3X5uQowdWaJnxyzBSxrBgZCyVa,158065.461,245166.787,2013.021,-87101.326,-0.355
3161,7yC8SzjGdXHkLfccYWeUM7Aenr8c52taEBQd9BeLVaBD,1212.795,-147.05,1999.38,1359.845,inf
1451,4jEjJLkmmXwRQRRwuujWUECGQzn95fhEUjLQwk2Pf5WR,1167.931,-1332.568,1986.464,2500.499,inf
12618,Arwi3Qcu5ncs5u6fHHyHuWh567vzKFaGzMZh7WkXza9s,113335.735,432300.0,1947.567,-318964.265,-0.738
12798,AQhbHR4pJqpeFgudX4BepV5LMgstiu5ctKMW1LNizgni,388.235,-477.0,1936.294,865.235,inf
9213,DdQA413UwavKhjo2cTWJeMvZEzzWRevAsD39hdCYr6nF,115931.735,195824.0,1933.657,-79892.265,-0.408
7100,H95x8XbQuD5RarpTUQ7rwmPCkQybGcaYgSTig17rpWFa,66997.638,136079.46,1900.192,-69081.822,-0.508
14472,FeT3qAYJ5LUsyPKUeQfK8hhUKGkQHUPyEwZHNaHxcJ23,5621.841,4820.0,1891.687,801.841,0.166
2169,CuTQJ2AZ8c3KA7HNnS1EUN5SA6tdYShaeqFZrDHwDRC4,93184.094,90000.0,1887.912,3184.094,0.035
12971,sprtBZumUnXxAvQ3zKTXgMVAf9hzcKs2PXAPDxaWANR,2770.958,-17734.79,1884.627,20505.748,inf
7851,H1efszYdGst9jNcLTTEHX2HuNN2DVSQYMUaFmM23kqbc,0.002,-3594.402,1831.862,3594.404,inf
14484,BVykpLYZy9GigxJBEgMQ5ZeXciEEu793EvieBXCYV9sE,0.005,-130106.57,1808.164,130106.575,inf
8712,4FBxEUi6xk858uNnb3sHewSeyVNy3W4ckK8zPTWtZN8N,636.558,-9927.11,1807.347,10563.668,inf
11339,jLcMvWkdEDweLB1otEdmsnL48kQPF5esSKx5WDzrdei,18982.361,16206.31,1797.339,2776.051,0.171
1100,5bbzM1bndqbjR1RDsBEdzB9yAPFayh6m1ErUsWHvuej4,37523.808,46108.0,1790.185,-8584.192,-0.186
12486,8w4uRzN81cghupkF7jNLinGLtCqYwNQFgQtdJfC5so7z,343968.552,270531.0,1769.83,73437.552,0.271
12161,34qqEFbJji1dYpVQcfCfy5CgqLDhJ3jnjivzxZdhGbHZ,1303.892,-1332.601,1754.672,2636.493,inf
10091,7PNqGpRUDwHgFBCU8qn89Wbs3bJLM6oURd5eWQy8h4MJ,1172.769,-963.979,1750.57,2136.748,inf
11885,9ejxwu1RWfTKCHH9T9vc1EdRTsfmnny5gKhW2WHLXH4K,0.005,3936.89,1746.735,-3936.885,-1.0
10911,FUG9tcLbLgaRB1WtF9FYRM1zNwRJ2yiWufUAGKbnCABH,0.009,10749.53,1702.43,-10749.521,-1.0
3797,BEaiKjEzNieLfVYn3NsbBiqN8gZP8w5Pgu3WYuXEgjog,92235.015,106776.0,1690.351,-14540.985,-0.136
11179,13FqxsfP636kgZt6yhyBQPWEg2oWDkAvErJUV8fpKwbJ,0.004,192.52,1675.293,-192.516,-1.0
14128,E1pGaojzrXRkkLNn6vztAFAnTk2buajbZPhd9PsFaoBt,1339.95,-390.134,1670.858,1730.084,inf
9331,2AgTgvquCCS55Z6EjhMXTZbrqr8ugV8SWfd8tRyp7nFL,0.009,41087.21,1658.427,-41087.201,-1.0
12425,6gHAAzxtx9sHietAfdvuMhGr2UZV8uz2zyW7pnWxh9sx,94734.195,70000.0,1656.385,24734.195,0.353
4360,4RZKFLwySHB8PqqURzmEqcL2xu28cSFK231v3VjFjaEr,1216.932,-1611.633,1637.644,2828.565,inf
10695,8VuaLjtA3FzyTNJmc3w31YFfHzTKeqD9pb2tr7aeTWod,1302.743,-3331.31,1625.667,4634.053,inf
12610,97TGTYUV37PgPNjgf2YnWsQhVn132AjU6uadvNw22Xyt,1164.071,222.445,1610.479,941.626,4.233
6992,9WQ5qMZADbD9scsUYJPmbXr8vFjqbpUW5MJj8FoRQAJH,1447.428,-625.232,1574.252,2072.66,inf
3918,8MKNsuGVaoYpdQy6NNyxDvRzh2DAquBUtri4nDsixUxs,0.001,5.1,1564.066,-5.099,-1.0
11942,7sDGtVCQKLTBdufeobxvHdyKzKqtKRTpQqgXhSjypstB,1232.664,-1119.84,1559.08,2352.504,inf
5330,6dPhLCABGvaAuAp6Sb9FkxuCY67K7Beej6jvvjHdb3Ga,0.009,14219.69,1558.393,-14219.681,-1.0
2912,GYpucRPD9CooEPSAMoXbsFeqpKuguTLp5NZvDcNU3mka,0.001,3395.76,1553.855,-3395.759,-1.0
13319,DnG3qNVMm7BR6KnSVAgozQ9CtKi1qVgtBxPZNUx2SrZK,4909.56,6496.0,1551.19,-1586.44,-0.244
130,3FCT4xUS1j8kWVL19rhpJFb9xHQskz14w7FPz1wMWBcu,0.001,2602.47,1506.475,-2602.469,-1.0
13400,7iQW3uZoWSCdffUVRXTmSWQVtxCAZum2sSTqeRMBcXWG,8389.105,7999.0,1501.944,390.105,0.049
10955,79jusNA3eftYUdbg8bv2bjHMh9iXmnFNAzuMVF34hCig,0.009,31187.28,1500.376,-31187.271,-1.0
